 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL2608	 Lysosomal alpha-glucosidase 
 2 	 CHEMBL3114	 Sucrase-isomaltase 
 3 	 CHEMBL3513	 Acidic alpha-glucosidase 
 4 	 CHEMBL1929	 Xanthine dehydrogenase 
 5 	 CHEMBL5880	 Interleukin-2 
 6 	 CHEMBL1827	 Phosphodiesterase 5A 
 7 	 CHEMBL2622	 Aldose reductase 
 8 	 CHEMBL2203	 Motilin receptor 
 9 	 CHEMBL335	 Protein-tyrosine phosphatase 1B 
 10 	 CHEMBL2409	 Epoxide hydratase 
 11 	 CHEMBL333	 Matrix metalloproteinase-2 
 12 	 CHEMBL4531	 Galectin-3 
 13 	 CHEMBL5008	 Galectin-7 
 14 	 CHEMBL5474	 Galectin-9 
 15 	 CHEMBL1867	 Alpha-2a adrenergic receptor 
 16 	 CHEMBL1916	 Alpha-2c adrenergic receptor 
 17 	 CHEMBL220	 Acetylcholinesterase 
 18 	 CHEMBL299	 Protein kinase C alpha 
 19 	 CHEMBL1075145	 Transitional endoplasmic reticulum ATPase 
 20 	 CHEMBL4241	 Squalene monooxygenase 
