"Source"	"Target"
"FGFR3"	"Serotonin"
"FGFR3"	"Skatole"
"FGFR3"	"Indole-3-carboxylic acid"
"FGFR3"	"Dihydroglycitein"
"FGFR3"	"Chenodiol"
"FGFR3"	"Glycocholic acid"
"FGFR3"	"3,4-Dihydroxy-trans-stilbene"
"FGFR3"	"Cohibin B"
"FGFR3"	"Indoxyl sulfate"
"FGFR3"	"1,6-di-O-phosphono-beta-D-fructofuranose"
"FGFR3"	"Propylene Glycol"
"FGFR3"	"10-Oxo-11-octadecenoic acid"
"FGFR3"	"11-Methoxycurvularin"
"FGFR3"	"3-(4-Hydroxyphenyl)propionic acid"
"FGFR3"	"Isovaleric acid"
"FGFR3"	"Loganetin"
"FGFR3"	"Propionate"
"FGFR3"	"Butyrate"
"FGFR3"	"5-(3-hydroxyphenyl)pentanoic Acid"
"FGFR3"	"3-Phenylpropionic acid"
"FGFR3"	"Pyruvate"
"FGFR3"	"Myristic Acid"
"FGFR3"	"(20S)-Protopanaxadiol"
"FGFR3"	"Thymine"
"FGFR3"	"Trimethylamine oxide"
"FGFR3"	"Valerate"
"FGFR3"	"Tryptamine"
"FGFR3"	"Enterodiol"
"FGFR3"	"Ginsenoside Rd"
"FGFR3"	"Xanthine"
"FGFR3"	"Gamma-Aminobutyric Acid"
"FGFR3"	"Ginsenoside Rh2"
"FGFR3"	"N-acetylputrescine"
"FGFR3"	"Glycoursodeoxycholic acid"
"FGFR3"	"5-hydroxy-1H-imidazole-4-carboxamide"
"FGFR3"	"Glutathione"
"FGFR3"	"Glycochenodeoxycholic acid"
"FGFR3"	"4-Methylpentanoic acid"
"FGFR3"	"L-homoserine"
"FGFR3"	"4-Hydroxyphenylacetic acid"
"FGFR3"	"Hydroxyquercitrin"
"FGFR3"	"4-[(Z)-15,16-dihydroxydotriacont-19-enyl]-2-methyl-2H-uran-5-one"
"FGFR3"	"4-Hydroxybenzoic acid"
"FGFR3"	"D-Xylose"
"FGFR3"	"2'-Deoxyguanosine"
"FGFR3"	"2'-Deoxyinosine"
"FGFR3"	"Hypoxanthine"
"FGFR3"	"Folic Acid"
"FGFR3"	"7-Aminoheptanoic acid"
"FGFR3"	"1,3-Diphenylpropan-2-ol"
"FGFR3"	"Colibactin"
"FGFR3"	"Aglycone"
"FGFR3"	"Proline"
"FGFR3"	"Hesperetin dihydrochalcone"
"FGFR3"	"Tricarballylic acid"
"FGFR3"	"2-Amino-1-methyl-6-phenylimidazo(4,5-b)pyridine"
"FGFR3"	"(R)-(+)-Lactamide"
"FGFR3"	"p-Cresol glucuronide"
"FGFR3"	"n,n,n-Trimethyllysine"
"FGFR3"	"Succinate"
