 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL4531	 Galectin-3 
 2 	 CHEMBL205	 Carbonic anhydrase II 
 3 	 CHEMBL261	 Carbonic anhydrase I 
 4 	 CHEMBL3242	 Carbonic anhydrase XII 
 5 	 CHEMBL3594	 Carbonic anhydrase IX 
 6 	 CHEMBL5008	 Galectin-7 
 7 	 CHEMBL2608	 Lysosomal alpha-glucosidase 
 8 	 CHEMBL3114	 Sucrase-isomaltase 
 9 	 CHEMBL3513	 Acidic alpha-glucosidase 
 10 	 CHEMBL3510	 Carbonic anhydrase XIV 
 11 	 CHEMBL5474	 Galectin-9 
 12 	 CHEMBL1973	 Tyrosinase 
 13 	 CHEMBL1795098	 Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1 
 14 	 CHEMBL4794	 Vanilloid receptor 
 15 	 CHEMBL1900	 Aldose reductase 
 16 	 CHEMBL2167	 Transforming protein p21/H-Ras-1 
 17 	 CHEMBL3317337	 Poly(ADP-ribose) glycohydrolase 
 18 	 CHEMBL4518	 Purinergic receptor P2Y14 
 19 	 CHEMBL222	 Norepinephrine transporter 
 20 	 CHEMBL2123	 Pyrimidinergic receptor P2Y4 
